Key,English,Bulgarian,Danish,Dutch,French,Estonian,German,Hungarian,Italian,Polish,Portuguese,Romanian,Russian,Slovak,Spanish,,,,,,,,,,
title,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,dōTERRA | Stronger Together,,,,,,,,,,
copyright,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,dōTERRA © 2021.,,,,,,,,,,
privacy_policy,Policy,Политика,Politik,Beleid,Politique,Eeskiri,Policy,Szabályzat,Politica ,Polityka,Política,Politică,Политика,Politika,Política,,,,,,,,,,
terms,Terms and Conditions,Правила и условия,Vilkår og betingelser,Voorwaarden,Conditions générales,Tingimused,Allgemeine Geschäftsbedingungen,Feltételek,Termini e Condizioni,Regulamin,Termos e condições,Termeni și Condiții,Условия и положения,Podmienky,Términos y condiciones,,,,,,,,,,
header,"Welcome to Stronger Together | doTERRA Europe Connection. This event represents the unity of our doTERRA family. From our growers to the communities we help thrive, to the support and generosity of our members, the bonds we have built during this pandemic are stronger than ever. ","Добре дошли на Stronger Together | dōTERRA Europe Connection. Това събитие символизира единството на семейството на doTERRA. От нашите производители до общностите, на които помагаме да се развиват, и подкрепата и щедростта на нашите членове, връзките, които изградихме по време на пандемията, са по-силни от всякога. ","Velkommen til Stronger Together | doTERRA Europe Connection. Denne begivenhed repræsenterer enheden i vores doTERRA-familie. Fra vores dyrkere til de samfund, vi hjælper med at trives, til vores medlemmers støtte og generøsitet, er de bånd, vi har knyttet under denne pandemi, stærkere end nogensinde. ","Welkom bij Stronger Together | doTERRA Europe Connection. Dit evenement vertegenwoordigt de eenheid van onze doTERRA familie. Van onze telers tot de gemeenschappen die we helpen opbloeien, tot de steun en vrijgevigheid van onze leden: de banden die we tijdens deze pandemie hebben opgebouwd, ze zijn sterker dan ooit. ","Bienvenue à Stronger Together | dōTERRA Europe Connection. Cet événement représente l’unité de notre famille dōTERRA. De nos cultivateurs aux communautés que nous aidons à prospérer, au soutien et à la générosité de nos membres, les liens que nous avons créés pendant cette pandémie sont plus forts que jamais. ","Tere tulemast üritusele Stronger Together | dōTERRA Europe Connection! Ürituse eesmärk on tähistada dōTERRA kogukonna ühtsust. Meie taimekasvatajate, abistatavate kogukondade ning toetavate ja heldete liikmete vahelised sidemed on pandeemia ajal vaid tugevamaks muutunud. ","Willkommen bei unserer Stronger Together | dōTERRA Europe Connection. Dieser Event symbolisiert die Einheit unserer dōTERRA Familie. Von unseren Erzeugern über die Gemeinschaften, denen wir helfen zu gedeihen, bis hin zur Unterstützung und Großzügigkeit unserer Mitglieder – die Bindungen, welche wir während dieser Pandemie aufgebaut haben, sind stärker denn je. ","Üdvözli a Stronger Together | doTERRA Europe Connection. Eseményünk a doTERRA családját meghatározó összefogást jelképezi. Termesztőinktől a közösségeken át, amelyek boldogulásához hozzájárulunk, egészen a tagjaink támogatásáig és nagylelkűségéig, a járvány ideje alatt kialakított kötelékek közelebb hoztak bennünket egymáshoz, mint valaha. ","Ti diamo il benvenuto alla Stronger Together | doTERRA Europe Connection. Questo evento rappresenta l’unità della nostra famiglia doTERRA. Dai nostri coltivatori alle comunità che sosteniamo, fino al supporto e alla generosità dei nostri membri, i legami che abbiamo creato durante questa pandemia sono forti come non mai. ","Witamy na wydarzeniu Stronger Together | dōTERRA Europe Connection, które jest wyrazem jedności rodziny dōTERRA. Począwszy od naszych plantatorów, przez społeczności, którym pomagamy się rozwijać, po wsparcie i szczodrość naszych członków – więzi, które nawiązaliśmy podczas pandemii, są silniejsze niż kiedykolwiek dotąd. ","Damos-lhe as boas-vindas ao Stronger Together | doTERRA Europe Connection. Este evento representa a união da nossa família doTERRA. Dos nossos agricultores às comunidades que ajudamos a desenvolver, ao apoio e à generosidade dos nossos membros, os laços que criámos durante esta pandemia estão mais fortes do que nunca. ","Bine ai venit la Stronger Together | doTERRA Europe Connection. Acest eveniment exprimă unitatea familiei doTERRA. De la cultivatorii cu care colaborăm și comunitățile pe care le ajutăm să prospere la suportul și generozitatea Membrilor noștri, legăturile pe care le-am creat în timpul acestei pandemii sunt mai puternice ca oricând.","Добро пожаловать на мероприятие Stronger Together | doTERRA Europe Connection. Оно отражает дух единства нашей семьи doTERRA. Во время этой пандемии нам удалось построить внутренние связи, которые сейчас стали сильнее, чем когда-либо: от производителей сырья, которым мы помогаем процветать, до поддержки и щедрости наших участников. ","Vitajte na Stronger Together | doTERRA Europe Connection. Toto podujatie symbolizuje svornosť našej rodiny doTERRA. Putá, ktoré sme počas tejto pandémie budovali, od našich pestovateľov, cez komunity, ktorým pomáhame prekvitať, až po podporu a veľkodušnosť našich členov, sú silnejšie než kedykoľvek predtým. ","Bienvenida a Stronger Together | doTERRA Europe Connection. Este evento representa la unidad de nuestra familia doTERRA. Desde nuestros agricultores hasta las comunidades a las que ayudamos a prosperar y el apoyo y la generosidad de nuestros miembros, los lazos que hemos construido durante esta pandemia son más fuertes que nunca. ",,,,,,,,,,
description,"Each day you will experience dynamic content, hear from amazing speakers, scientists, and specialists. You can also look forward to the reveal of our doTERRA Europe Connection Kit, featuring exciting, brand-new products! There is so much to share with you, and we hope you embrace every moment.  

Celebrate our virtual connections and the strength of our united doTERRA community. ","Всеки ден ще сте свидетели на динамично съдържание, ще слушате невероятни лектори, учени и специалисти. Очаквайте и представянето на нашия doTERRA Europe Connection Kit, който включва интересни, чисто нови продукти! Има толкова много неща, които да споделим с Вас, и се надяваме, че се възползвате от всеки един момент.

Наслаждавайте се на виртуалните ни връзки и силата на нашата обединена doTERRA общност. ","Hver dag vil du opleve dynamisk indhold, høre fra fantastiske talere, videnskabsfolk og specialister. Du kan også se frem til afsløringen af vores doTERRA Europe Connection Kit, der indeholder spændende og helt nye produkter! Der er så meget, vi skal dele med dig, og vi håber vil du omfavne hvert øjeblik.  

Lad os fejre vores virtuelle forbindelser og styrken i vores forenede doTERRA-fællesskab. ","Elke dag ervaar je dynamische inhoud en luister je naar fantastische sprekers, wetenschappers en specialisten. Je kunt ook uitkijken naar de onthulling van onze doTERRA Europe Connection Kit, met spannende, gloednieuwe producten! Er is zoveel om met je te delen, en we hopen dat je elk moment zult omarmen.  

Vier onze virtuele connecties en de kracht van onze verenigde doTERRA gemeenschap. ","Tous les jours, vous aurez l’occasion de découvrir des contenus dynamiques et d’écouter des conférenciers, scientifiques et experts extraordinaires. Nous dévoilerons également notre dōTERRA Europe Connection Kit composé de nouveaux produits fascinants ! Nous avons tant de choses à partager avec vous et nous espérons que vous apprécierez chaque instant ! 

Fêtons nos liens virtuels ainsi que la force et l’unité de notre communauté dōTERRA. ","Igal päeval pakume põnevat sisu, imelisi esinejaid ning teadlaste ja ekspertide ettekandeid. Esitleme ka kauaoodatud komplekti dōTERRA Europe Connection Kit, mis sisaldab täiesti uusi ja põnevaid tooteid. Meil on teiega nii paljut jagada ja loodame, et naudite ürituse iga hetke.

Tundke rõõmu virtuaalsest suhtlusest ja dōTERRA kogukonna ühtsusest. ","Jeden Tag werden Sie attraktive Beiträge erleben und von erstaunlichen Referenten, Wissenschaftlern und Experten hören. Sie können sich auch auf die Enthüllung unseres dōTERRA Europe Connection Kits freuen, das aufregende, brandneue Produkte enthält! Es gibt so viel mit Ihnen zu teilen, und wir hoffen, dass Sie jeden Moment genießen werden.

Feiern Sie unsere virtuellen Verbindungen und die Stärke unserer vereinten dōTERRA Community.  ","Mindennap dinamikus tartalmakkal, lenyűgöző előadók, tudósok és szakértők előadásaival várjuk. A doTERRA Europe Connection Kit bemutatása is a várva várt nagy pillanatok közé tartozik, hiszen izgalmas, új termékeket tartogat! Annyi mindent szeretnénk megosztani Önnel, reméljük, Ön is izgatottan várja az esemény minden pillanatát.  

Ünnepelje velünk virtuális találkozásainkat és az összetartó doTERRA-közösség erejét! ","Ogni giorno in cui si svolgerà l’evento, potrai apprezzare contenuti dinamici e ascoltare gli interventi di relatori, scienziati e specialisti straordinari. Potrai inoltre assistere al lancio del nostro doTERRA Europe Connection Kit, con tanti nuovi fantastici prodotti! Abbiamo tantissime novità che non vediamo l'ora di annunciarti e ci auguriamo che apprezzerai ogni istante di questo evento eccezionale.

Celebriamo le nostre connessioni virtuali e la forza di tutta la comunità doTERRA unita. ","Każdy dzień wydarzenia będzie okazją, aby wziąć udział w interesujących prezentacjach niesamowitych mówców, naukowców i specjalistów. Zaprezentujemy także zestaw dōTERRA Europe Connection Kit, który obejmuje nowe, fantastyczne produkty! Jest mnóstwo informacji, którymi chcemy się z Tobą podzielić, i mamy nadzieję, że będą one dla Ciebie atrakcyjne.  

Weź udział w naszym wirtualnym spotkaniu i ciesz się z nami siłą społeczności dōTERRA. ","Em cada dia, irá desfrutar de conteúdo dinâmico e ouvir fantásticos oradores, cientistas e especialistas. Também poderá assistir à revelação do nosso doTERRA Europe Connection Kit, que inclui novos produtos fascinantes! Temos tanto para partilhar consigo e esperamos que aproveite cada momento.  

Celebre as nossas ligações virtuais e a força da união da nossa comunidade doTERRA. ","În fiecare zi, vei parcuge un conținut dinamic și vei asculta speakeri, oameni de știință și experți minunați. Pregătește-te să descoperiri noi produse impresionante, în pachetul doTERRA Europe Connection Kit! Sunt atâtea lucruri pe care vrem să le împărtășim cu tine, sperăm să te bucuri de fiecare moment.  

Sărbătorește conexiunile noastre virtuale și forța comunității unite doTERRA. 
","Каждый день наши потрясающие докладчики, ученые и специалисты будут делиться с вами актуальной информацией во время своих динамичных выступлений. Также мы подготовили выпуск нового набора замечательных продуктов doTERRA Europe Connection Kit! Нам есть, о чем рассказать, и мы надеемся, что каждая секунда этого мероприятия принесет вам пользу. 

Насладитесь виртуальным общением и почувствуйте силу нашего общего пространства doTERRA. ","Každý deň zažijete dynamický obsah, vypočujete si úžasných rečníkov, vedcov a odborníkov. Môžete sa tiež tešiť na odhalenie nášho balíka doTERRA Europe Connection Kit, ktorý obsahuje vzrušujúce, úplne nové produkty! Chceme sa s vami podeliť o nesmierne veľa informácií a faktov a dúfame, že si to užijete.  

Oslávme naše virtuálne spojenia a silu našej zjednotenej komunity doTERRA. ","Cada día podrás experimentar contenido dinámico, escuchar a increíbles ponentes, científicos y especialistas. También puedes esperar la revelación de nuestro Kit doTERRA Europe Connection ¡que incluye emocionantes y novedosos productos! Tenemos tanto que contarte que esperamos que aproveches cada momento.  

Celebra nuestra conexión virtual y la fortaleza de nuestra comunidad unida doTERRA. ",,,,,,,,,,
login_label,Sign In,Влизане,Log ind,Aanmelden,Connexion,Logi sisse,Anmelden,Bejelentkezés,Iscriviti ,Zaloguj się,Iniciar sessão,Conectează-te,Войти,Prihlásiť sa,Registrarse,,,,,,,,,,
registration_label,Need to Register / Forgot Password,Регистрация/Забравена парола,Skal tilmeldes / Har glemt adgangskode,Registreren vereist / Wachtwoord vergeten,Inscription souhaitée / Mot de passe oublié,Registreeru / Unustasin salasõna,Registrierung erforderlich / Passwort vergessen,Regisztráció szükséges/Elfelejtett jelszó,Registrazione necessaria / Password dimenticata,Rejestracja jest wymagana / Zapomniano hasła,Preciso de efetuar o registo/esqueci-me da palavra-passe,Trebuie să te înregistrezi / Ai uitat parola,Необходимо зарегистрироваться / Забыли пароль?,Musíte sa zaregistrovať / Zabudli ste heslo,Necesito registrarme / He olvidado mi contraseña,,,,,,,,,,
---,,,,,,,,,,,,,,,,,,,,,,,,,
message,Goes live in:,На живо:,Går live om:,Gaat live over:,En direct dans :,Otseülekande alguseni:,Geht live in:,Kezdésig hátralevő idő:,Inizia tra:,Rozpoczęcie za:,Em direto dentro de:,Este live în:,Прямая трансляция начнется через:,Naživo za:,Estreno en vivo en:,,,,,,,,,,
days,Days,Дни,Dage,Dagen,Jours,Päeva,Tagen,nap,Giorni ,dni,Dias,Zile,Дней,deň/dni/dní,Días,,,,,,,,,,
hours,Hours,Часове,Timer,Uren,Heures,tundi,Stunden,óra,Ore,godzin(y),Horas,Ore,Часов,hodinu/hodiny/hodín,Horas,,,,,,,,,,
minutes,Minutes,Минути,Minutter,Minuten,Minutes,minutit,Minuten,perc,Minuti ,minut(y),Minutos,Minute,Минут,minútu/minúty/minút,Minutos,,,,,,,,,,
seconds,Seconds,Секунди,Sekunder,Seconden,Secondes,sekundit,Sekunden,másodperc,Secondi,sekund(y),Segundos,Secunde,Секунд,sekundu/sekundy/sekúnd,Segundos,,,,,,,,,,
join_conversation,Join the conversation,Присъединяване към разговор,Deltag i samtalen,Neem deel aan het gesprek,Rejoignez la conversation,Liitu vestlusega,Am Gespräch teilnehmen,Kapcsolódjon be a beszélgetésbe,Partecipa alla conversazione,Dołącz do rozmowy,Participar na conversa,Alătură-te conversației,Присоединяйтесь к обсуждению,Zapojte sa do rozhovoru,Únete a la conversación,,,,,,,,,,
hashtag,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,,,,,,,,,,
link1,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,,,,,,,,,,
link2,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,,,,,,,,,,
email_error,Please enter a valid email address,"Моля, въведете валиден имейл адрес",Indtast en gyldig e-mailadresse,Voer een geldig e-mailadres in,Veuillez saisir une adresse e-mail valide,Palun sisesta kehtiv e-posti aadress,Bitte geben Sie eine gültige E-Mail Adresse ein,"Kérjük, adjon meg egy érvényes e-mail-címet.",Inserisci un indirizzo e-mail valido,Wpisz prawidłowy adres e-mail,Introduza um endereço de e-mail válido,Te rugăm să introduci o adresă de email valabilă,Укажите действующий адрес электронной почты,Zadajte platnú e-mailovú adresu,"Por favor, introduce una dirección de correo electrónico válida",,,,,,,,,,
cred_error,The email and/or password you have entered is not valid,Невалиден имейл и/или парола,"Den e-mail og/eller adgangskode, du har indtastet, er ikke gyldig","Het e-mailadres en/of wachtwoord dat je hebt ingevoerd, is ongeldig",L’e-mail et/ou le mot de passe saisis ne sont pas valides.,Sisestatud e-posti aadress ja/või salasõna on kehtetu,Die eingegebene E-Mail und/oder das Passwort sind nicht gültig,A megadott e-mail-cím és/vagy jelszó érvénytelen,L’email e/o la password inserita non è valida,Podany adres e-mail i/lub hasło są nieprawidłowe,O e-mail e/ou a palavra-passe que introduziu não são válidos,Email-ul și/sau parola nu sunt valabile,Указанный вами адрес электронной почты и (или) пароль недействителен,Zadaný e-mail a/alebo heslo nie sú platné,La dirección de correo electrónico / o la contraseña que has introducido no es válida,,,,,,,,,,
email_placeholder,Your Rainfocus Email,Вашият Rainfocus имейл,Din Rainfocus e-mail,Je Rainfocus e-mail,Votre e-mail Rainfocus,Sinu Rainfocusi e-posti aadress,Ihre Rainfocus-E-Mail,Rainfocus-e-mail-címe,La tua email Rainfocus,Twój adres e-mail Rainfocus,O seu e-mail Rainfocus,Email-ul tău Rainfocus ,Ваш электронный адрес Rainfocus,Váš e-mail Rainfocus,Tu correo electrónico de Rainfocus,,,,,,,,,,
password_placeholder,Your Rainfocus Password,Вашата Rainfocus парола,Din Rainfocus adgangskode,Je Rainfocus wachtwoord,Votre mot de passe Rainfocus,Sinu Rainfocusi salasõna,Ihr Rainfocus-Passwort,Rainfocus-jelszava,La tua password Rainfocus,Twoje hasło Rainfocus,A sua palavra-passe Rainfocus,Parola ta Rainfocus ,Ваш пароль Rainfocus,Vaše heslo Rainfocus,Tu contraseña de Rainfocus,,,,,,,,,,
email_label,Email Address,Имейл адрес,E-mailadresse,E-mailadres,Adresse e-mail,E-posti aadress,E-Mail Adresse,E-mail-cím,Indirizzo email,Adres e-mail,Endereço de e-mail,Adresa de email,Адрес электронной почты,E-mailová adresa,Dirección de correo electrónico,,,,,,,,,,
password_label,Password,Парола,Adgangskode,Wachtwoord,Mot de passe,Salasõna,Passwort,Jelszó,Password,Hasło,Palavra-passe,Parola,Пароль,Heslo,Contraseña,,,,,,,,,,
